regio1,serviceCharge,heatingType,newlyConst,balcony,pricetrend,totalRent,yearConstructed,scoutId,firingTypes,hasKitchen,cellar,baseRent,houseNumber,livingSpace,condition,interiorQual,petsAllowed,streetPlain,lift,typeOfFlat,geo_plz,noRooms,floor,numberOfFloors,garden,regio2,regio3,lastRefurbish,date,bezirk,price_per_sqm,size_category,district_tier,era
Berlin,320.0,central_heating,False,True,4.99,1140.0,,115671495,,True,False,820.0,63,77.0,,,negotiable,Metropolitan_Park,True,ground_floor,13591,3.0,0.0,3.0,False,Berlin,Staaken_Spandau,,Feb20,Spandau,10.65,Medium,Affordable,
Berlin,240.0,combined_heat_and_power_plant,True,True,4.77,1290.0,2019.0,113936389,,True,True,1050.0,,80.03,first_time_use,,,,True,,12683,3.0,3.0,,False,Berlin,Biesdorf_Marzahn,,Feb20,Marzahn-Hellersdorf,13.12,Medium,Affordable,Post-1990
Berlin,360.0,floor_heating,True,True,9.63,2560.0,2019.0,113243423,district_heating,True,True,2200.0,109,133.36,first_time_use,sophisticated,negotiable,Harzer_Straße,True,roof_storey,12435,4.0,6.0,6.0,False,Berlin,Neukölln_Neukölln,,Feb20,Neukölln,16.5,Large,Mid,Post-1990
Berlin,426.08,self_contained_central_heating,True,True,6.58,3664.25,2019.0,114570399,,False,True,3238.17,24,170.0,mint_condition,,,"Malmöer_Straße,_WE",True,apartment,10439,4.0,,,False,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,,Feb20,Pankow,19.05,Large,Premium,Post-1990
Berlin,,,False,True,7.78,1400.0,,114417547,,True,True,1350.0,42,56.0,,sophisticated,,Genthiner_Straße,True,apartment,10785,2.0,2.0,,False,Berlin,Tiergarten_Tiergarten,,Feb20,Mitte,24.11,Small,Premium,
Berlin,245.66,district_heating,True,True,7.56,2499.59,2019.0,115358269,district_heating,True,True,2131.1,19,122.83,first_time_use,sophisticated,negotiable,Heidestraße,True,apartment,10557,4.0,0.0,6.0,False,Berlin,Tiergarten_Tiergarten,2019.0,Feb20,Mitte,17.35,Large,Premium,Post-1990
Berlin,380.0,central_heating,False,True,3.65,1830.0,1990.0,58020370,natural_gas_light,True,True,1450.0,,131.0,fully_renovated,sophisticated,negotiable,,False,ground_floor,14109,4.0,0.0,3.0,True,Berlin,Wannsee_Zehlendorf,,Feb20,Steglitz-Zehlendorf,11.07,Large,Mid,1946–1990
Berlin,145.0,district_heating,False,True,6.82,1095.0,1959.0,115364667,district_heating,False,True,900.0,44,71.34,first_time_use_after_refurbishment,sophisticated,negotiable,Holländerstr.,True,apartment,13407,3.0,2.0,5.0,False,Berlin,Reinickendorf_Reinickendorf,2018.0,Feb20,Reinickendorf,12.62,Medium,Affordable,1946–1990
Berlin,200.0,floor_heating,True,True,6.38,1550.0,2019.0,114018593,,True,True,1250.0,10,69.0,first_time_use,luxury,yes,Heilbronner_Strasse,True,,10711,2.0,1.0,,True,Berlin,Wilmersdorf_Wilmersdorf,,Feb20,Charlottenburg-Wilmersdorf,18.12,Medium,Premium,Post-1990
Berlin,130.0,central_heating,False,True,6.07,825.72,1900.0,115408802,gas,False,False,615.72,15,83.0,well_kept,normal,negotiable,Schönwalder_Straße,False,roof_storey,13585,2.0,4.0,4.0,False,Berlin,Spandau_Spandau,,Feb20,Spandau,7.42,Medium,Affordable,Pre-1918
