regio3,bezirk,district_tier,listing_count,avg_rent,avg_price_per_sqm,city_rank,bezirk_rank
Mitte_Mitte,Mitte,Premium,794,1786.9,20.28,1,1
Tiergarten_Tiergarten,Mitte,Premium,764,1434.38,19.53,2,2
Grunewald_Wilmersdorf,Charlottenburg-Wilmersdorf,Premium,92,2405.0,17.51,3,1
Prenzlauer_Berg_Prenzlauer_Berg,Pankow,Premium,473,1552.83,17.5,4,1
Kreuzberg_Kreuzberg,Friedrichshain-Kreuzberg,Premium,323,1311.76,17.19,5,1
Friedrichshain_Friedrichshain,Friedrichshain-Kreuzberg,Premium,553,1323.49,17.12,6,2
Wilmersdorf_Wilmersdorf,Charlottenburg-Wilmersdorf,Premium,368,1675.33,16.87,7,2
Schöneberg_Schöneberg,Tempelhof-Schöneberg,Mid,279,1439.03,16.3,8,1
Charlottenburg_Charlottenburg,Charlottenburg-Wilmersdorf,Premium,701,1588.97,16.08,9,3
Heinersdorf_Weißensee,Pankow,Premium,25,611.21,16.02,10,2
Dahlem_Zehlendorf,Steglitz-Zehlendorf,Mid,58,1808.88,15.39,11,1
Nikolassee_Zehlendorf,Steglitz-Zehlendorf,Mid,29,1731.65,15.05,12,2
Treptow_Treptow,Treptow-Köpenick,Mid,22,1116.41,14.91,13,1
Wedding_Wedding,Mitte,Premium,397,778.71,14.83,14,3
Niederschöneweide_Treptow,Treptow-Köpenick,Mid,89,705.84,14.54,15,2
Neukölln_Neukölln,Neukölln,Mid,361,1035.21,14.43,16,1
Schmargendorf_Wilmersdorf,Charlottenburg-Wilmersdorf,Premium,90,1348.65,14.36,17,4
Rummelsburg_Lichtenberg,Lichtenberg,Mid,5,1776.02,14.09,18,1
Tempelhof_Tempelhof,Tempelhof-Schöneberg,Mid,91,942.48,13.91,19,2
Wannsee_Zehlendorf,Steglitz-Zehlendorf,Mid,38,1426.21,13.52,20,3
Friedenau_Schöneberg,Tempelhof-Schöneberg,Mid,45,1241.44,13.19,21,3
Pankow_Pankow,Pankow,Premium,152,1022.13,12.95,22,3
Steglitz_Steglitz,Steglitz-Zehlendorf,Mid,158,1083.17,12.95,22,4
Marienfelde_Tempelhof,Tempelhof-Schöneberg,Mid,87,877.76,12.89,24,4
Oberschöneweide_Köpenick,Treptow-Köpenick,Mid,137,663.56,12.85,25,3
Weißensee_Weißensee,Pankow,Premium,162,1073.67,12.8,26,4
Kladow_Spandau,Spandau,Affordable,18,1049.61,12.69,27,1
Grünau_Köpenick,Treptow-Köpenick,Mid,76,1060.97,12.67,28,4
Rahnsdorf_Köpenick,Treptow-Köpenick,Mid,18,1062.52,12.62,29,5
Friedrichsfelde_Lichtenberg,Lichtenberg,Mid,161,706.57,12.6,30,2
Adlershof_Treptow,Treptow-Köpenick,Mid,133,869.65,12.59,31,6
Zehlendorf_Zehlendorf,Steglitz-Zehlendorf,Mid,93,1023.99,12.56,32,5
Lichtenberg_Lichtenberg,Lichtenberg,Mid,137,925.78,12.45,33,3
Lichterfelde_Steglitz,Steglitz-Zehlendorf,Mid,203,1093.48,12.3,34,6
Rosenthal_Pankow,Pankow,Premium,55,1015.8,12.24,35,5
Konradshöhe_Reinickendorf,Reinickendorf,Affordable,5,964.32,12.23,36,1
Schmöckwitz_Köpenick,Treptow-Köpenick,Mid,10,962.64,12.06,37,7
Tegel_Reinickendorf,Reinickendorf,Affordable,76,957.29,11.88,38,2
Heiligensee_Reinickendorf,Reinickendorf,Affordable,20,1145.22,11.82,39,3
