bezirk,total_listings,above_avg_count,pct_above_city_avg,city_avg_rent
Charlottenburg-Wilmersdorf,1251,808,64.6,1149.46
Mitte,1955,1133,58.0,1149.46
Friedrichshain-Kreuzberg,876,488,55.7,1149.46
Tempelhof-Schöneberg,654,260,39.8,1149.46
Steglitz-Zehlendorf,640,252,39.4,1149.46
Pankow,1141,438,38.4,1149.46
Neukölln,512,143,27.9,1149.46
Reinickendorf,515,96,18.6,1149.46
Treptow-Köpenick,1065,177,16.6,1149.46
Lichtenberg,556,73,13.1,1149.46
Spandau,612,59,9.6,1149.46
Marzahn-Hellersdorf,592,19,3.2,1149.46
