type_label,listing_count,avg_rent_eur,avg_price_per_sqm,avg_size_sqm,avg_rooms,min_rent_eur,max_rent_eur
Penthouse,168,2403.63,18.02,136.3,3.4,653.0,6325.0
Loft,53,1876.62,16.7,113.6,2.6,650.0,4875.0
Terraced Flat,139,1374.92,15.29,91.7,2.7,500.0,4274.0
Roof Storey,957,1479.73,14.52,100.9,2.9,300.0,9500.0
Apartment,6549,1070.49,14.22,76.8,2.5,179.99,8475.0
Other,251,1065.84,14.19,77.1,2.4,199.0,5990.0
Maisonette,270,1891.63,13.89,132.5,3.8,493.15,7700.0
Raised Ground Floor,207,986.2,13.28,74.5,2.4,280.14,3800.0
Ground Floor,958,947.44,13.25,72.4,2.3,178.16,3670.0
Half Basement,22,738.23,11.26,66.8,2.1,227.85,1295.0
