bezirk,listing_count,pct_of_total,avg_rent_eur,avg_price_per_sqm,avg_size_sqm,avg_rooms,min_rent_eur,max_rent_eur
Mitte,1955,18.9,1444.41,18.88,83.0,2.5,179.99,7000.0
Charlottenburg-Wilmersdorf,1251,12.1,1657.09,16.29,103.3,2.9,227.02,9500.0
Pankow,1141,11.0,1191.0,14.36,82.6,2.6,268.75,5289.0
Treptow-Köpenick,1065,10.3,844.75,12.05,72.7,2.4,237.1,3170.0
Friedrichshain-Kreuzberg,876,8.4,1319.17,17.14,79.1,2.4,202.4,5700.0
Tempelhof-Schöneberg,654,6.3,1140.52,13.91,85.1,2.7,199.0,5600.0
Steglitz-Zehlendorf,640,6.2,1170.46,12.87,90.3,2.8,227.85,6500.0
Spandau,612,5.9,702.4,9.77,72.6,2.4,180.07,2500.0
Marzahn-Hellersdorf,592,5.7,587.66,9.03,65.8,2.5,178.16,2372.5
Lichtenberg,556,5.4,766.83,11.43,68.1,2.4,182.78,2800.0
Reinickendorf,515,5.0,818.22,11.06,74.7,2.4,261.92,2430.0
Neukölln,512,4.9,951.52,13.27,72.5,2.3,197.15,3496.5
